ID,name,name2,typ,role,role2,Verwandtschaft,place,state,polit,beruf,spezifik,sex,institution,institution2,family,,,,,,,,,
A1057,Albrecht Pulman,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1058,Albrecht Ramung,,Person,Bürger zu N.,,,Nürnberg ,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1059,Alhart Helm ,,Person,Bürger zu Nürnberg,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A106,Peter Rieter,,Person,,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1448-1450,,,,,,,,
A1060,Ältere Herren von Nürnberg,,Person,,,,Nürnberg ,Nürnberger Bürger,,,,male,Nürnberger Rat,,,,,,,,,,,
A1061,Andre Doner,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1062,Andres Zeringer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1063,Anna Bechrerin,,Person,Bürger zu N.,,Witwe Hans Bechrers,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1064,Anna Granetelin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1065,Anna Usmerin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1066,Anna Wechslerin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1067,Anton Eulenslack,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1068,Anton Küfler,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1069,Anton Riedler,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A107,Ruprecht Haller,,Person,,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1451-1460,,,,,,,,
A1070,Apel Arnold,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1071,Arnold Til d. J.,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1072,Barbara Glaserin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1073,Barbara Nordlingerin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1074,Barbara Volkmerin,(Berthold),Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1075,Bartholomeus Knorr,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1076,Berthold Deichsler,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1077,Berthold Thum,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1078,Burkhard Mufflinger,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1079,Burkhard Pesler,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A108,Sebald Rieter,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1455,,,,,,,,
A1080,C. Gutman,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1081,C. Speger,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1082,Clas Bieresel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1083,Clas Geyer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1084,Clas Rumel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1085,Contz Alfolk,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1086,Contz Boll,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1087,Contz Burkart,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1088,Contz Glockengiesser,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1089,Contz Guldenmundel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A109,Sebald Rummel,Sebald Rumel,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1451-1453; 1455-1456,,,,,,,,
A1090,Contz Kolb von Wöhrd,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1091,Contz Lintner,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1092,Contz Ofenmeister,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1093,Contz Pentz,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1094,Contz Poll,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1095,Contz Pühler d. J.,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1096,Contz Rumpler,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1097,Contz Smieher,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1098,Contz Zirkendorfer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1099,Conz Mendlin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A11,Peter Eschenloher,,Person,,Büchsenmeister,,,,,Handwerker,,male,,,,,,,,,,,,
A110,Stephan Prunster,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1455,,,,,,,,
A1100,Conz Sternecker,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1102,Cunz Halbwachs,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1103,Cunz Hofer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1104,der Bayreuther,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1105,der Derrer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1106,der Eugel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1107,der Gnotzheimer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1108,der Grau,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1109,der Guldenmundel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A111,Ulman Hegnein,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1448-1459,,,,,,,,
A1110,der Haiecker,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1111,der Harsdorfer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1112,der Kaltenhauser,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1113,der Keltzwein,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1114,der Lauber,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1115,der Plättner Grunwald,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1116,der Pürstenbinder,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1117,der Reinsperger,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1118,der Rotpusch,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
